County	Population
Adams	20,215
Ashland	16,103
Barron	45,455
Bayfield	14,985
Brown	256,670
Buffalo	13,188
Burnett	15,328
Calumet	49,491
Chippewa	63,460
Clark	34,423
Columbia	56,615
Crawford	16,392
Dane	516,284
Dodge	88,574
Door	27,766
Douglas	43,698
Dunn	44,305
Eau Claire	101,564
Florence	4,481
Fond du Lac	101,759
Forest	9,127
Grant	51,829
Green	37,063
Green Lake	18,836
Iowa	23,825
Iron	5,917
Jackson	20,652
Jefferson	84,395
Juneau	26,395
Kenosha	168,068
Kewaunee	20,444
La Crosse	118,011
Lafayette	16,853
Langlade	19,410
Lincoln	28,493
Manitowoc	80,160
Marathon	135,780
Marinette	41,298
Marquette	15,050
Menominee	4,522
Milwaukee	956,406
Monroe	45,379
Oconto	37,417
Oneida	35,563
Outagamie	182,006
Ozaukee	87,470
Pepin	7,335
Pierce	40,958
Polk	43,437
Portage	70,482
Price	13,675
Racine	195,163
Richland	17,662
Rock	161,188
Rusk	14,333
Sauk	63,379
Sawyer	16,437
Shawano	41,579
Sheboygan	115,290
Saint Croix	86,759
Taylor	20,540
Trempealeau	29,509
Vernon	30,362
Vilas	21,398
Walworth	103,527
Washburn	15,694
Washington	133,251
Waukesha	395,118
Waupaca	52,066
Waushara	24,178
Winnebago	169,511
Wood	73,608
